,DateTime,Date,Time,BTX(Âµg/ml)
0,04 Aug 14:26,04 Aug 2021,14:26:24,0.01
1,09 Aug 11:41,09 Aug 2021,11:41:48,0.02
2,10 Aug 08:24,10 Aug 2021,08:24:01,0.03
3,10 Aug 09:26,10 Aug 2021,09:26:56,0.02
4,10 Aug 21:30,10 Aug 2021,21:30:23,0.03
5,11 Aug 08:47,11 Aug 2021,08:47:06,0.02
6,11 Aug 12:13,11 Aug 2021,12:13:36,0.06
7,11 Aug 16:56,11 Aug 2021,16:56:21,0.05
8,11 Aug 18:00,11 Aug 2021,18:00:02,0.0
9,12 Aug 10:59,12 Aug 2021,10:59:37,0.01
10,16 Aug 10:05,16 Aug 2021,10:05:25,0.02
11,16 Aug 16:15,16 Aug 2021,16:15:54,0.01
12,16 Aug 17:19,16 Aug 2021,17:19:32,0.02
13,19 Aug 21:09,19 Aug 2021,21:09:25,0.01
14,28 Aug 10:21,28 Aug 2021,10:21:18,0.0
15,28 Aug 11:35,28 Aug 2021,11:35:06,0.01
16,28 Aug 12:45,28 Aug 2021,12:45:39,0.02
17,28 Aug 15:26,28 Aug 2021,15:26:51,0.01
